NR,SHORTSCHOOLNAME,LOCATION,AVG
25,Gheorghe Munteanu Murgoci,Braila,9.43
24,Elf,Kolozsvar,9.45
23,Lucian Blaga,Sebes,9.45
22,Gr. Moisil,Brasov,9.45
21,B. P. Hasdeu,Buzau,9.45
20,Cantemir Voda,Bukarest,9.46
19,I.L.Caragiale,Bukarest,9.47
18,Silvania,Zilah,9.47
17,Mea,Bukarest,9.48
16,Mihai Eminescu,Botosani,9.48
15,Spiru Haret,Bukarest,9.49
14,Mircea Cel Batran,Constanta,9.51
13,Anastasia Popescu,Bukarest,9.52
12,Grigore Moisil,Bukarest,9.55
11,Gheorghe Lazar,Nagyszeben,9.56
10,Vasile Alecsandri Localitatea,Galati,9.56
9,Emil Racovita,Iasi,9.57
8,Mihai Eminescu,Szatmarnemeti,9.57
7,Dr. Ioan Mesota,Brasov,9.59
6,Petru Rares,Piatra-Neamt,9.6
5,Emil Racovita,Kolozsvar,9.65
4,Constantin Diaconovici Loga,Timisoara,9.67
3,Unirea,Focsani,9.68
2,Tudor Vianu,Bukarest,9.71
1,Andrei Saguna,Brasov,9.73